ponto_id,rota_id,ordem_ponto,ponto_ts,ativo_id,equipe,latitude,longitude,distancia_acumulada_km,status_rota
ROT-001-P18,ROT-001,18,2026-08-03T11:24:00,ATV-001,Equipe Norte,-23.4775,-46.6209,41.2,Concluída
ROT-002-P01,ROT-002,1,2026-08-04T08:00:00,ATV-002,Equipe Sul,-13.0514,-38.5014,0.0,Concluída
ROT-002-P02,ROT-002,2,2026-08-04T08:12:00,ATV-002,Equipe Sul,-13.0424,-38.4917,1.3,Concluída
ROT-002-P03,ROT-002,3,2026-08-04T08:24:00,ATV-002,Equipe Sul,-13.0334,-38.4835,2.6,Concluída
ROT-002-P04,ROT-002,4,2026-08-04T08:36:00,ATV-002,Equipe Sul,-13.0244,-38.4781,3.9,Concluída
ROT-002-P05,ROT-002,5,2026-08-04T08:48:00,ATV-002,Equipe Sul,-13.0154,-38.4764,5.2,Concluída
ROT-002-P06,ROT-002,6,2026-08-04T09:00:00,ATV-002,Equipe Sul,-13.0064,-38.4787,6.5,Concluída
ROT-002-P07,ROT-002,7,2026-08-04T09:12:00,ATV-002,Equipe Sul,-12.9974,-38.4845,7.8,Concluída
ROT-002-P08,ROT-002,8,2026-08-04T09:24:00,ATV-002,Equipe Sul,-12.9884,-38.493,9.1,Concluída
ROT-002-P09,ROT-002,9,2026-08-04T09:36:00,ATV-002,Equipe Sul,-12.9794,-38.5029,10.4,Concluída
ROT-002-P10,ROT-002,10,2026-08-04T09:48:00,ATV-002,Equipe Sul,-12.9704,-38.5125,11.7,Concluída
ROT-002-P11,ROT-002,11,2026-08-04T10:00:00,ATV-002,Equipe Sul,-12.9614,-38.5203,13.0,Concluída
ROT-002-P12,ROT-002,12,2026-08-04T10:12:00,ATV-002,Equipe Sul,-12.9524,-38.5252,14.3,Concluída
ROT-003-P01,ROT-003,1,2026-08-05T08:00:00,ATV-003,Equipe Leste,-19.9967,-43.9345,0.0,Em andamento
ROT-003-P02,ROT-003,2,2026-08-05T08:12:00,ATV-003,Equipe Leste,-19.9877,-43.9248,0.7,Em andamento
ROT-003-P03,ROT-003,3,2026-08-05T08:24:00,ATV-003,Equipe Leste,-19.9787,-43.9166,1.4,Em andamento
ROT-003-P04,ROT-003,4,2026-08-05T08:36:00,ATV-003,Equipe Leste,-19.9697,-43.9112,2.1,Em andamento
ROT-003-P05,ROT-003,5,2026-08-05T08:48:00,ATV-003,Equipe Leste,-19.9607,-43.9095,2.8,Em andamento
ROT-003-P06,ROT-003,6,2026-08-05T09:00:00,ATV-003,Equipe Leste,-19.9517,-43.9118,3.5,Em andamento
ROT-003-P07,ROT-003,7,2026-08-05T09:12:00,ATV-003,Equipe Leste,-19.9427,-43.9176,4.2,Em andamento
ROT-003-P08,ROT-003,8,2026-08-05T09:24:00,ATV-003,Equipe Leste,-19.9337,-43.9261,4.9,Em andamento
ROT-004-P01,ROT-004,1,2026-08-06T08:00:00,ATV-004,Equipe Norte,-30.1146,-51.2177,0.4,Concluída
ROT-004-P02,ROT-004,2,2026-08-06T08:12:00,ATV-004,Equipe Norte,-30.1056,-51.208,2.8,Concluída
ROT-004-P03,ROT-004,3,2026-08-06T08:24:00,ATV-004,Equipe Norte,-30.0966,-51.1998,5.2,Concluída
ROT-004-P04,ROT-004,4,2026-08-06T08:36:00,ATV-004,Equipe Norte,-30.0876,-51.1944,7.6,Concluída
ROT-004-P05,ROT-004,5,2026-08-06T08:48:00,ATV-004,Equipe Norte,-30.0786,-51.1927,10.0,Concluída
ROT-004-P06,ROT-004,6,2026-08-06T09:00:00,ATV-004,Equipe Norte,-30.0696,-51.195,12.4,Concluída
ROT-004-P07,ROT-004,7,2026-08-06T09:12:00,ATV-004,Equipe Norte,-30.0606,-51.2008,14.8,Concluída
ROT-004-P08,ROT-004,8,2026-08-06T09:24:00,ATV-004,Equipe Norte,-30.0516,-51.2093,17.2,Concluída
ROT-004-P09,ROT-004,9,2026-08-06T09:36:00,ATV-004,Equipe Norte,-30.0426,-51.2192,19.6,Concluída
ROT-004-P10,ROT-004,10,2026-08-06T09:48:00,ATV-004,Equipe Norte,-30.0336,-51.2288,22.0,Concluída
ROT-004-P11,ROT-004,11,2026-08-06T10:00:00,ATV-004,Equipe Norte,-30.0246,-51.2366,24.4,Concluída
ROT-004-P12,ROT-004,12,2026-08-06T10:12:00,ATV-004,Equipe Norte,-30.0156,-51.2415,26.8,Concluída
ROT-004-P13,ROT-004,13,2026-08-06T10:24:00,ATV-004,Equipe Norte,-30.0066,-51.2426,29.2,Concluída
ROT-004-P14,ROT-004,14,2026-08-06T10:36:00,ATV-004,Equipe Norte,-29.9976,-51.2398,31.6,Concluída
ROT-004-P15,ROT-004,15,2026-08-06T10:48:00,ATV-004,Equipe Norte,-29.9886,-51.2335,34.0,Concluída
ROT-004-P16,ROT-004,16,2026-08-06T11:00:00,ATV-004,Equipe Norte,-29.9796,-51.2247,36.4,Concluída
ROT-004-P17,ROT-004,17,2026-08-06T11:12:00,ATV-004,Equipe Norte,-29.9706,-51.2148,38.8,Concluída
ROT-004-P18,ROT-004,18,2026-08-06T11:24:00,ATV-004,Equipe Norte,-29.9616,-51.2053,41.2,Concluída
ROT-005-P01,ROT-005,1,2026-08-07T08:00:00,ATV-005,Equipe Sul,-25.5084,-49.2733,0.0,Concluída
ROT-005-P02,ROT-005,2,2026-08-07T08:12:00,ATV-005,Equipe Sul,-25.4994,-49.2636,1.3,Concluída
ROT-005-P03,ROT-005,3,2026-08-07T08:24:00,ATV-005,Equipe Sul,-25.4904,-49.2554,2.6,Concluída
ROT-005-P04,ROT-005,4,2026-08-07T08:36:00,ATV-005,Equipe Sul,-25.4814,-49.25,3.9,Concluída
ROT-005-P05,ROT-005,5,2026-08-07T08:48:00,ATV-005,Equipe Sul,-25.4724,-49.2483,5.2,Concluída
ROT-005-P06,ROT-005,6,2026-08-07T09:00:00,ATV-005,Equipe Sul,-25.4634,-49.2506,6.5,Concluída
ROT-005-P07,ROT-005,7,2026-08-07T09:12:00,ATV-005,Equipe Sul,-25.4544,-49.2564,7.8,Concluída
ROT-005-P08,ROT-005,8,2026-08-07T09:24:00,ATV-005,Equipe Sul,-25.4454,-49.2649,9.1,Concluída
ROT-005-P09,ROT-005,9,2026-08-07T09:36:00,ATV-005,Equipe Sul,-25.4364,-49.2748,10.4,Concluída
ROT-005-P10,ROT-005,10,2026-08-07T09:48:00,ATV-005,Equipe Sul,-25.4274,-49.2844,11.7,Concluída
ROT-005-P11,ROT-005,11,2026-08-07T10:00:00,ATV-005,Equipe Sul,-25.4184,-49.2922,13.0,Concluída
ROT-005-P12,ROT-005,12,2026-08-07T10:12:00,ATV-005,Equipe Sul,-25.4094,-49.2971,14.3,Concluída
ROT-006-P01,ROT-006,1,2026-08-08T08:00:00,ATV-006,Equipe Leste,-16.7669,-49.2648,0.0,Em andamento
ROT-006-P02,ROT-006,2,2026-08-08T08:12:00,ATV-006,Equipe Leste,-16.7579,-49.2551,0.7,Em andamento
ROT-006-P03,ROT-006,3,2026-08-08T08:24:00,ATV-006,Equipe Leste,-16.7489,-49.2469,1.4,Em andamento
ROT-006-P04,ROT-006,4,2026-08-08T08:36:00,ATV-006,Equipe Leste,-16.7399,-49.2415,2.1,Em andamento
ROT-006-P05,ROT-006,5,2026-08-08T08:48:00,ATV-006,Equipe Leste,-16.7309,-49.2398,2.8,Em andamento
ROT-006-P06,ROT-006,6,2026-08-08T09:00:00,ATV-006,Equipe Leste,-16.7219,-49.2421,3.5,Em andamento
ROT-006-P07,ROT-006,7,2026-08-08T09:12:00,ATV-006,Equipe Leste,-16.7129,-49.2479,4.2,Em andamento
ROT-006-P08,ROT-006,8,2026-08-08T09:24:00,ATV-006,Equipe Leste,-16.7039,-49.2564,4.9,Em andamento
ROT-007-P01,ROT-007,1,2026-08-09T08:00:00,ATV-007,Equipe Norte,-1.5358,-48.4902,0.4,Concluída
ROT-007-P02,ROT-007,2,2026-08-09T08:12:00,ATV-007,Equipe Norte,-1.5268,-48.4805,2.8,Concluída
ROT-007-P03,ROT-007,3,2026-08-09T08:24:00,ATV-007,Equipe Norte,-1.5178,-48.4723,5.2,Concluída
ROT-007-P04,ROT-007,4,2026-08-09T08:36:00,ATV-007,Equipe Norte,-1.5088,-48.4669,7.6,Concluída
ROT-007-P05,ROT-007,5,2026-08-09T08:48:00,ATV-007,Equipe Norte,-1.4998,-48.4652,10.0,Concluída
ROT-007-P06,ROT-007,6,2026-08-09T09:00:00,ATV-007,Equipe Norte,-1.4908,-48.4675,12.4,Concluída
ROT-007-P07,ROT-007,7,2026-08-09T09:12:00,ATV-007,Equipe Norte,-1.4818,-48.4733,14.8,Concluída
ROT-007-P08,ROT-007,8,2026-08-09T09:24:00,ATV-007,Equipe Norte,-1.4728,-48.4818,17.2,Concluída
ROT-007-P09,ROT-007,9,2026-08-09T09:36:00,ATV-007,Equipe Norte,-1.4638,-48.4917,19.6,Concluída
ROT-007-P10,ROT-007,10,2026-08-09T09:48:00,ATV-007,Equipe Norte,-1.4548,-48.5013,22.0,Concluída
ROT-007-P11,ROT-007,11,2026-08-09T10:00:00,ATV-007,Equipe Norte,-1.4458,-48.5091,24.4,Concluída
ROT-007-P12,ROT-007,12,2026-08-09T10:12:00,ATV-007,Equipe Norte,-1.4368,-48.514,26.8,Concluída
ROT-007-P13,ROT-007,13,2026-08-09T10:24:00,ATV-007,Equipe Norte,-1.4278,-48.5151,29.2,Concluída
ROT-007-P14,ROT-007,14,2026-08-09T10:36:00,ATV-007,Equipe Norte,-1.4188,-48.5123,31.6,Concluída
ROT-007-P15,ROT-007,15,2026-08-09T10:48:00,ATV-007,Equipe Norte,-1.4098,-48.506,34.0,Concluída
ROT-007-P16,ROT-007,16,2026-08-09T11:00:00,ATV-007,Equipe Norte,-1.4008,-48.4972,36.4,Concluída
ROT-007-P17,ROT-007,17,2026-08-09T11:12:00,ATV-007,Equipe Norte,-1.3918,-48.4873,38.8,Concluída
ROT-007-P18,ROT-007,18,2026-08-09T11:24:00,ATV-007,Equipe Norte,-1.3828,-48.4778,41.2,Concluída
ROT-008-P01,ROT-008,1,2026-08-10T08:00:00,ATV-008,Equipe Sul,-3.8119,-38.5267,0.0,Concluída
ROT-008-P02,ROT-008,2,2026-08-10T08:12:00,ATV-008,Equipe Sul,-3.8029,-38.517,1.3,Concluída
ROT-008-P03,ROT-008,3,2026-08-10T08:24:00,ATV-008,Equipe Sul,-3.7939,-38.5088,2.6,Concluída
ROT-008-P04,ROT-008,4,2026-08-10T08:36:00,ATV-008,Equipe Sul,-3.7849,-38.5034,3.9,Concluída
ROT-008-P05,ROT-008,5,2026-08-10T08:48:00,ATV-008,Equipe Sul,-3.7759,-38.5017,5.2,Concluída
ROT-008-P06,ROT-008,6,2026-08-10T09:00:00,ATV-008,Equipe Sul,-3.7669,-38.504,6.5,Concluída
ROT-008-P07,ROT-008,7,2026-08-10T09:12:00,ATV-008,Equipe Sul,-3.7579,-38.5098,7.8,Concluída
ROT-008-P08,ROT-008,8,2026-08-10T09:24:00,ATV-008,Equipe Sul,-3.7489,-38.5183,9.1,Concluída
ROT-008-P09,ROT-008,9,2026-08-10T09:36:00,ATV-008,Equipe Sul,-3.7399,-38.5282,10.4,Concluída
ROT-008-P10,ROT-008,10,2026-08-10T09:48:00,ATV-008,Equipe Sul,-3.7309,-38.5378,11.7,Concluída
ROT-008-P11,ROT-008,11,2026-08-10T10:00:00,ATV-008,Equipe Sul,-3.7219,-38.5456,13.0,Concluída
ROT-008-P12,ROT-008,12,2026-08-10T10:12:00,ATV-008,Equipe Sul,-3.7129,-38.5505,14.3,Concluída
ROT-009-P01,ROT-009,1,2026-08-11T08:00:00,ATV-001,Equipe Leste,-23.6305,-46.6333,0.0,Em andamento
ROT-009-P02,ROT-009,2,2026-08-11T08:12:00,ATV-001,Equipe Leste,-23.6215,-46.6236,0.7,Em andamento
ROT-009-P03,ROT-009,3,2026-08-11T08:24:00,ATV-001,Equipe Leste,-23.6125,-46.6154,1.4,Em andamento
ROT-009-P04,ROT-009,4,2026-08-11T08:36:00,ATV-001,Equipe Leste,-23.6035,-46.61,2.1,Em andamento
ROT-009-P05,ROT-009,5,2026-08-11T08:48:00,ATV-001,Equipe Leste,-23.5945,-46.6083,2.8,Em andamento
ROT-009-P06,ROT-009,6,2026-08-11T09:00:00,ATV-001,Equipe Leste,-23.5855,-46.6106,3.5,Em andamento
ROT-009-P07,ROT-009,7,2026-08-11T09:12:00,ATV-001,Equipe Leste,-23.5765,-46.6164,4.2,Em andamento
ROT-009-P08,ROT-009,8,2026-08-11T09:24:00,ATV-001,Equipe Leste,-23.5675,-46.6249,4.9,Em andamento
ROT-010-P01,ROT-010,1,2026-08-12T08:00:00,ATV-002,Equipe Norte,-13.0514,-38.5014,0.4,Concluída
ROT-010-P02,ROT-010,2,2026-08-12T08:12:00,ATV-002,Equipe Norte,-13.0424,-38.4917,2.8,Concluída
ROT-010-P03,ROT-010,3,2026-08-12T08:24:00,ATV-002,Equipe Norte,-13.0334,-38.4835,5.2,Concluída
ROT-010-P04,ROT-010,4,2026-08-12T08:36:00,ATV-002,Equipe Norte,-13.0244,-38.4781,7.6,Concluída
ROT-010-P05,ROT-010,5,2026-08-12T08:48:00,ATV-002,Equipe Norte,-13.0154,-38.4764,10.0,Concluída
ROT-010-P06,ROT-010,6,2026-08-12T09:00:00,ATV-002,Equipe Norte,-13.0064,-38.4787,12.4,Concluída
ROT-010-P07,ROT-010,7,2026-08-12T09:12:00,ATV-002,Equipe Norte,-12.9974,-38.4845,14.8,Concluída
ROT-010-P08,ROT-010,8,2026-08-12T09:24:00,ATV-002,Equipe Norte,-12.9884,-38.493,17.2,Concluída
ROT-010-P09,ROT-010,9,2026-08-12T09:36:00,ATV-002,Equipe Norte,-12.9794,-38.5029,19.6,Concluída
ROT-010-P10,ROT-010,10,2026-08-12T09:48:00,ATV-002,Equipe Norte,-12.9704,-38.5125,22.0,Concluída
ROT-010-P11,ROT-010,11,2026-08-12T10:00:00,ATV-002,Equipe Norte,-12.9614,-38.5203,24.4,Concluída
ROT-010-P12,ROT-010,12,2026-08-12T10:12:00,ATV-002,Equipe Norte,-12.9524,-38.5252,26.8,Concluída
ROT-010-P13,ROT-010,13,2026-08-12T10:24:00,ATV-002,Equipe Norte,-12.9434,-38.5263,29.2,Concluída
ROT-010-P14,ROT-010,14,2026-08-12T10:36:00,ATV-002,Equipe Norte,-12.9344,-38.5235,31.6,Concluída
ROT-010-P15,ROT-010,15,2026-08-12T10:48:00,ATV-002,Equipe Norte,-12.9254,-38.5172,34.0,Concluída
ROT-010-P16,ROT-010,16,2026-08-12T11:00:00,ATV-002,Equipe Norte,-12.9164,-38.5084,36.4,Concluída
ROT-010-P17,ROT-010,17,2026-08-12T11:12:00,ATV-002,Equipe Norte,-12.9074,-38.4985,38.8,Concluída
ROT-010-P18,ROT-010,18,2026-08-12T11:24:00,ATV-002,Equipe Norte,-12.8984,-38.489,41.2,Concluída
ROT-011-P01,ROT-011,1,2026-08-13T08:00:00,ATV-003,Equipe Sul,-19.9967,-43.9345,0.0,Concluída
ROT-011-P02,ROT-011,2,2026-08-13T08:12:00,ATV-003,Equipe Sul,-19.9877,-43.9248,1.3,Concluída
ROT-011-P03,ROT-011,3,2026-08-13T08:24:00,ATV-003,Equipe Sul,-19.9787,-43.9166,2.6,Concluída
ROT-011-P04,ROT-011,4,2026-08-13T08:36:00,ATV-003,Equipe Sul,-19.9697,-43.9112,3.9,Concluída
ROT-011-P05,ROT-011,5,2026-08-13T08:48:00,ATV-003,Equipe Sul,-19.9607,-43.9095,5.2,Concluída
ROT-011-P06,ROT-011,6,2026-08-13T09:00:00,ATV-003,Equipe Sul,-19.9517,-43.9118,6.5,Concluída
ROT-011-P07,ROT-011,7,2026-08-13T09:12:00,ATV-003,Equipe Sul,-19.9427,-43.9176,7.8,Concluída
ROT-011-P08,ROT-011,8,2026-08-13T09:24:00,ATV-003,Equipe Sul,-19.9337,-43.9261,9.1,Concluída
ROT-011-P09,ROT-011,9,2026-08-13T09:36:00,ATV-003,Equipe Sul,-19.9247,-43.936,10.4,Concluída
ROT-011-P10,ROT-011,10,2026-08-13T09:48:00,ATV-003,Equipe Sul,-19.9157,-43.9456,11.7,Concluída
ROT-011-P11,ROT-011,11,2026-08-13T10:00:00,ATV-003,Equipe Sul,-19.9067,-43.9534,13.0,Concluída
ROT-011-P12,ROT-011,12,2026-08-13T10:12:00,ATV-003,Equipe Sul,-19.8977,-43.9583,14.3,Concluída
ROT-012-P01,ROT-012,1,2026-08-14T08:00:00,ATV-004,Equipe Leste,-30.1146,-51.2177,0.0,Em andamento
ROT-012-P02,ROT-012,2,2026-08-14T08:12:00,ATV-004,Equipe Leste,-30.1056,-51.208,0.7,Em andamento
ROT-012-P03,ROT-012,3,2026-08-14T08:24:00,ATV-004,Equipe Leste,-30.0966,-51.1998,1.4,Em andamento
ROT-012-P04,ROT-012,4,2026-08-14T08:36:00,ATV-004,Equipe Leste,-30.0876,-51.1944,2.1,Em andamento
ROT-012-P05,ROT-012,5,2026-08-14T08:48:00,ATV-004,Equipe Leste,-30.0786,-51.1927,2.8,Em andamento
ROT-012-P06,ROT-012,6,2026-08-14T09:00:00,ATV-004,Equipe Leste,-30.0696,-51.195,3.5,Em andamento
ROT-012-P07,ROT-012,7,2026-08-14T09:12:00,ATV-004,Equipe Leste,-30.0606,-51.2008,4.2,Em andamento
ROT-012-P08,ROT-012,8,2026-08-14T09:24:00,ATV-004,Equipe Leste,-30.0516,-51.2093,4.9,Em andamento
ROT-013-P01,ROT-013,1,2026-08-15T07:30:00,ATV-003,Equipe Minas,-19.8267,-44.0345,0.0,Concluída
ROT-013-P02,ROT-013,2,2026-08-15T07:40:00,ATV-003,Equipe Minas,-19.8405,-44.0191,2.2,Concluída
ROT-013-P03,ROT-013,3,2026-08-15T07:50:00,ATV-003,Equipe Minas,-19.8544,-44.0037,4.4,Concluída
ROT-013-P04,ROT-013,4,2026-08-15T08:00:00,ATV-003,Equipe Minas,-19.8682,-43.9883,6.7,Concluída
ROT-013-P05,ROT-013,5,2026-08-15T08:10:00,ATV-003,Equipe Minas,-19.8821,-43.973,8.9,Concluída
ROT-013-P06,ROT-013,6,2026-08-15T08:20:00,ATV-003,Equipe Minas,-19.8959,-43.9576,11.1,Concluída
ROT-013-P07,ROT-013,7,2026-08-15T08:30:00,ATV-003,Equipe Minas,-19.9098,-43.9422,13.3,Concluída
ROT-013-P08,ROT-013,8,2026-08-15T08:40:00,ATV-003,Equipe Minas,-19.9236,-43.9268,15.6,Concluída
ROT-013-P09,ROT-013,9,2026-08-15T08:50:00,ATV-003,Equipe Minas,-19.9375,-43.9114,17.8,Concluída
ROT-013-P10,ROT-013,10,2026-08-15T09:00:00,ATV-003,Equipe Minas,-19.9513,-43.896,20.0,Concluída
ROT-013-P11,ROT-013,11,2026-08-15T09:10:00,ATV-003,Equipe Minas,-19.9652,-43.8807,22.2,Concluída
ROT-013-P12,ROT-013,12,2026-08-15T09:20:00,ATV-003,Equipe Minas,-19.979,-43.8653,24.4,Concluída
ROT-013-P13,ROT-013,13,2026-08-15T09:30:00,ATV-003,Equipe Minas,-19.9929,-43.8499,26.7,Concluída
ROT-013-P14,ROT-013,14,2026-08-15T09:40:00,ATV-003,Equipe Minas,-20.0067,-43.8345,28.9,Concluída
ROT-014-P01,ROT-014,1,2026-08-16T07:30:00,ATV-003,Equipe Serra,-19.8267,-43.8345,0.0,Concluída
ROT-014-P02,ROT-014,2,2026-08-16T07:40:00,ATV-003,Equipe Serra,-19.8405,-43.8499,2.2,Concluída
ROT-014-P03,ROT-014,3,2026-08-16T07:50:00,ATV-003,Equipe Serra,-19.8544,-43.8653,4.4,Concluída
ROT-014-P04,ROT-014,4,2026-08-16T08:00:00,ATV-003,Equipe Serra,-19.8682,-43.8807,6.7,Concluída
ROT-014-P05,ROT-014,5,2026-08-16T08:10:00,ATV-003,Equipe Serra,-19.8821,-43.896,8.9,Concluída
ROT-014-P06,ROT-014,6,2026-08-16T08:20:00,ATV-003,Equipe Serra,-19.8959,-43.9114,11.1,Concluída
ROT-014-P07,ROT-014,7,2026-08-16T08:30:00,ATV-003,Equipe Serra,-19.9098,-43.9268,13.3,Concluída
ROT-014-P08,ROT-014,8,2026-08-16T08:40:00,ATV-003,Equipe Serra,-19.9236,-43.9422,15.6,Concluída
ROT-014-P09,ROT-014,9,2026-08-16T08:50:00,ATV-003,Equipe Serra,-19.9375,-43.9576,17.8,Concluída
ROT-014-P10,ROT-014,10,2026-08-16T09:00:00,ATV-003,Equipe Serra,-19.9513,-43.973,20.0,Concluída
ROT-014-P11,ROT-014,11,2026-08-16T09:10:00,ATV-003,Equipe Serra,-19.9652,-43.9883,22.2,Concluída
ROT-014-P12,ROT-014,12,2026-08-16T09:20:00,ATV-003,Equipe Serra,-19.979,-44.0037,24.4,Concluída
ROT-014-P13,ROT-014,13,2026-08-16T09:30:00,ATV-003,Equipe Serra,-19.9929,-44.0191,26.7,Concluída
ROT-014-P14,ROT-014,14,2026-08-16T09:40:00,ATV-003,Equipe Serra,-20.0067,-44.0345,28.9,Concluída
ROT-015-P01,ROT-015,1,2026-08-17T07:30:00,ATV-003,Equipe Centro,-19.9167,-44.0545,0.0,Concluída
ROT-015-P02,ROT-015,2,2026-08-17T07:40:00,ATV-003,Equipe Centro,-19.9167,-44.0327,2.3,Concluída
ROT-015-P03,ROT-015,3,2026-08-17T07:50:00,ATV-003,Equipe Centro,-19.9167,-44.0109,4.6,Concluída
ROT-015-P04,ROT-015,4,2026-08-17T08:00:00,ATV-003,Equipe Centro,-19.9167,-43.989,6.8,Concluída
ROT-015-P05,ROT-015,5,2026-08-17T08:10:00,ATV-003,Equipe Centro,-19.9167,-43.9672,9.1,Concluída
ROT-015-P06,ROT-015,6,2026-08-17T08:20:00,ATV-003,Equipe Centro,-19.9167,-43.9454,11.4,Concluída
ROT-015-P07,ROT-015,7,2026-08-17T08:30:00,ATV-003,Equipe Centro,-19.9167,-43.9236,13.7,Concluída
ROT-015-P08,ROT-015,8,2026-08-17T08:40:00,ATV-003,Equipe Centro,-19.9167,-43.9018,15.9,Concluída
ROT-015-P09,ROT-015,9,2026-08-17T08:50:00,ATV-003,Equipe Centro,-19.9167,-43.88,18.2,Concluída
ROT-015-P10,ROT-015,10,2026-08-17T09:00:00,ATV-003,Equipe Centro,-19.9167,-43.8581,20.5,Concluída
ROT-015-P11,ROT-015,11,2026-08-17T09:10:00,ATV-003,Equipe Centro,-19.9167,-43.8363,22.8,Concluída
ROT-015-P12,ROT-015,12,2026-08-17T09:20:00,ATV-003,Equipe Centro,-19.9167,-43.8145,25.0,Concluída
ROT-016-P01,ROT-016,1,2026-08-18T07:30:00,ATV-003,Equipe Vale,-19.8067,-43.9345,0.0,Concluída
ROT-016-P02,ROT-016,2,2026-08-18T07:40:00,ATV-003,Equipe Vale,-19.8267,-43.9345,2.2,Concluída
ROT-016-P03,ROT-016,3,2026-08-18T07:50:00,ATV-003,Equipe Vale,-19.8467,-43.9345,4.4,Concluída
ROT-016-P04,ROT-016,4,2026-08-18T08:00:00,ATV-003,Equipe Vale,-19.8667,-43.9345,6.7,Concluída
ROT-016-P05,ROT-016,5,2026-08-18T08:10:00,ATV-003,Equipe Vale,-19.8867,-43.9345,8.9,Concluída
ROT-016-P06,ROT-016,6,2026-08-18T08:20:00,ATV-003,Equipe Vale,-19.9067,-43.9345,11.1,Concluída
ROT-016-P07,ROT-016,7,2026-08-18T08:30:00,ATV-003,Equipe Vale,-19.9267,-43.9345,13.3,Concluída
ROT-016-P08,ROT-016,8,2026-08-18T08:40:00,ATV-003,Equipe Vale,-19.9467,-43.9345,15.5,Concluída
ROT-016-P09,ROT-016,9,2026-08-18T08:50:00,ATV-003,Equipe Vale,-19.9667,-43.9345,17.8,Concluída
ROT-016-P10,ROT-016,10,2026-08-18T09:00:00,ATV-003,Equipe Vale,-19.9867,-43.9345,20.0,Concluída
ROT-016-P11,ROT-016,11,2026-08-18T09:10:00,ATV-003,Equipe Vale,-20.0067,-43.9345,22.2,Concluída
ROT-016-P12,ROT-016,12,2026-08-18T09:20:00,ATV-003,Equipe Vale,-20.0267,-43.9345,24.4,Concluída
ROT-017-P01,ROT-017,1,2026-08-19T07:30:00,ATV-003,Equipe Oeste,-19.9967,-44.0445,0.0,Concluída
ROT-017-P02,ROT-017,2,2026-08-19T07:40:00,ATV-003,Equipe Oeste,-19.9698,-44.042,3.0,Concluída
ROT-017-P03,ROT-017,3,2026-08-19T07:50:00,ATV-003,Equipe Oeste,-19.9456,-44.0375,5.7,Concluída
ROT-017-P04,ROT-017,4,2026-08-19T08:00:00,ATV-003,Equipe Oeste,-19.9267,-44.029,8.0,Concluída
ROT-017-P05,ROT-017,5,2026-08-19T08:10:00,ATV-003,Equipe Oeste,-19.9143,-44.0157,10.0,Concluída
ROT-017-P06,ROT-017,6,2026-08-19T08:20:00,ATV-003,Equipe Oeste,-19.9087,-43.9971,12.0,Concluída
ROT-017-P07,ROT-017,7,2026-08-19T08:30:00,ATV-003,Equipe Oeste,-19.9092,-43.9741,14.4,Concluída
ROT-017-P08,ROT-017,8,2026-08-19T08:40:00,ATV-003,Equipe Oeste,-19.9137,-43.9481,17.2,Concluída
ROT-017-P09,ROT-017,9,2026-08-19T08:50:00,ATV-003,Equipe Oeste,-19.9197,-43.9209,20.1,Concluída
