medicao_id,ativo_id,medicao_ts,geracao_mwh,carga_mw,disponibilidade_pct,temperatura_c,qualidade_dado
MED-0197,ATV-005,2026-08-02T00:00:00,295.5,143.83,96.93,14.4,Medido
MED-0198,ATV-006,2026-08-02T00:00:00,3.2,82.46,97.88,12.7,Medido
MED-0199,ATV-007,2026-08-02T00:00:00,337.71,170.16,99.7,9.6,Medido
MED-0200,ATV-008,2026-08-02T00:00:00,140.95,115.73,86.62,10.1,Medido
MED-0201,ATV-001,2026-08-02T01:00:00,3.6,66.9,97.94,13.1,Medido
MED-0202,ATV-002,2026-08-02T01:00:00,230.2,92.19,84.1,10.9,Medido
MED-0203,ATV-003,2026-08-02T01:00:00,271.36,124.43,97.17,12.3,Medido
MED-0204,ATV-004,2026-08-02T01:00:00,205.8,90.8,81.27,14.3,Medido
MED-0205,ATV-005,2026-08-02T01:00:00,296.8,143.83,96.93,13.4,Medido
MED-0206,ATV-006,2026-08-02T01:00:00,3.2,82.46,97.88,11.7,Medido
MED-0207,ATV-007,2026-08-02T01:00:00,339.2,170.16,99.7,8.6,Medido
MED-0208,ATV-008,2026-08-02T01:00:00,131.48,115.73,86.62,9.1,Medido
MED-0209,ATV-001,2026-08-02T02:00:00,3.6,66.9,97.94,12.7,Medido
MED-0210,ATV-002,2026-08-02T02:00:00,235.2,92.19,84.1,10.6,Medido
MED-0211,ATV-003,2026-08-02T02:00:00,272.55,124.43,97.17,12.0,Medido
MED-0212,ATV-004,2026-08-02T02:00:00,205.8,90.8,81.27,14.0,Medido
MED-0213,ATV-005,2026-08-02T02:00:00,298.1,143.83,96.93,13.1,Medido
MED-0214,ATV-006,2026-08-02T02:00:00,3.2,82.46,97.88,11.3,Medido
MED-0215,ATV-007,2026-08-02T02:00:00,340.68,170.16,99.7,8.3,Medido
MED-0216,ATV-008,2026-08-02T02:00:00,122.61,115.73,86.62,8.7,Medido
MED-0217,ATV-001,2026-08-02T03:00:00,3.6,66.9,97.94,13.1,Medido
MED-0218,ATV-002,2026-08-02T03:00:00,235.2,92.19,84.1,10.9,Medido
MED-0219,ATV-003,2026-08-02T03:00:00,273.72,124.43,97.17,12.3,Medido
MED-0220,ATV-004,2026-08-02T03:00:00,201.38,90.8,81.27,14.3,Medido
MED-0221,ATV-005,2026-08-02T03:00:00,299.38,143.83,96.93,13.4,Medido
MED-0222,ATV-006,2026-08-02T03:00:00,3.2,82.46,97.88,11.7,Medido
MED-0223,ATV-007,2026-08-02T03:00:00,342.15,170.16,99.7,8.6,Medido
MED-0224,ATV-008,2026-08-02T03:00:00,114.53,115.73,86.62,9.1,Medido
MED-0225,ATV-001,2026-08-02T04:00:00,3.6,66.9,97.94,14.0,Medido
MED-0226,ATV-002,2026-08-02T04:00:00,235.2,92.19,84.1,11.9,Medido
MED-0227,ATV-003,2026-08-02T04:00:00,274.86,124.43,97.17,13.3,Medido
MED-0228,ATV-004,2026-08-02T04:00:00,195.84,90.8,81.27,15.3,Medido
MED-0229,ATV-005,2026-08-02T04:00:00,300.63,143.83,96.93,14.4,Medido
MED-0230,ATV-006,2026-08-02T04:00:00,3.2,82.46,97.88,12.7,Medido
MED-0231,ATV-007,2026-08-02T04:00:00,343.58,170.16,99.7,9.6,Medido
MED-0232,ATV-008,2026-08-02T04:00:00,107.39,115.73,86.62,10.1,Medido
MED-0233,ATV-001,2026-08-02T05:00:00,3.6,66.9,97.94,15.6,Medido
MED-0234,ATV-002,2026-08-02T05:00:00,235.2,92.19,84.1,13.5,Medido
MED-0235,ATV-003,2026-08-02T05:00:00,275.97,124.43,97.17,14.9,Medido
MED-0236,ATV-004,2026-08-02T05:00:00,189.31,90.8,81.27,16.9,Medido
MED-0237,ATV-005,2026-08-02T05:00:00,301.84,143.83,96.93,16.0,Medido
MED-0238,ATV-006,2026-08-02T05:00:00,3.2,82.46,97.88,14.3,Medido
MED-0239,ATV-007,2026-08-02T05:00:00,344.96,170.16,99.7,11.2,Medido
MED-0240,ATV-008,2026-08-02T05:00:00,101.34,115.73,86.62,11.7,Medido
MED-0241,ATV-001,2026-08-02T06:00:00,3.6,66.9,97.94,17.7,Medido
MED-0242,ATV-002,2026-08-02T06:00:00,235.2,92.19,84.1,15.6,Medido
MED-0243,ATV-003,2026-08-02T06:00:00,277.04,124.43,97.17,17.0,Medido
MED-0244,ATV-004,2026-08-02T06:00:00,181.91,90.8,81.27,19.0,Medido
MED-0245,ATV-005,2026-08-02T06:00:00,303.02,143.83,96.93,18.1,Medido
MED-0246,ATV-006,2026-08-02T06:00:00,3.2,82.46,97.88,16.3,Medido
MED-0247,ATV-007,2026-08-02T06:00:00,346.3,170.16,99.7,13.3,Medido
MED-0248,ATV-008,2026-08-02T06:00:00,96.51,115.73,86.62,13.7,Estimado
MED-0249,ATV-001,2026-08-02T07:00:00,49.57,66.9,97.94,20.1,Medido
MED-0250,ATV-002,2026-08-02T07:00:00,235.2,92.19,84.1,18.0,Medido
MED-0251,ATV-003,2026-08-02T07:00:00,278.07,124.43,97.17,19.4,Medido
MED-0252,ATV-004,2026-08-02T07:00:00,173.8,90.8,81.27,21.4,Medido
MED-0253,ATV-005,2026-08-02T07:00:00,304.13,143.83,96.93,20.5,Medido
MED-0254,ATV-006,2026-08-02T07:00:00,44.06,82.46,97.88,18.7,Medido
MED-0255,ATV-007,2026-08-02T07:00:00,347.58,170.16,99.7,15.7,Estimado
MED-0256,ATV-008,2026-08-02T07:00:00,92.99,115.73,86.62,16.2,Medido
MED-0257,ATV-001,2026-08-02T08:00:00,95.76,80.9,97.94,22.7,Medido
MED-0258,ATV-002,2026-08-02T08:00:00,235.2,110.87,84.1,20.6,Medido
MED-0259,ATV-003,2026-08-02T08:00:00,279.03,149.33,97.17,22.0,Medido
MED-0260,ATV-004,2026-08-02T08:00:00,165.15,107.14,81.27,24.0,Medido
MED-0261,ATV-005,2026-08-02T08:00:00,305.19,171.06,96.93,23.1,Medido
MED-0262,ATV-006,2026-08-02T08:00:00,85.12,94.91,97.88,21.3,Estimado
MED-0263,ATV-007,2026-08-02T08:00:00,348.79,201.28,99.7,18.3,Medido
MED-0264,ATV-008,2026-08-02T08:00:00,90.86,133.63,86.62,18.7,Medido
MED-0265,ATV-001,2026-08-02T09:00:00,135.43,80.9,97.94,25.3,Medido
MED-0266,ATV-002,2026-08-02T09:00:00,230.15,110.87,84.1,23.2,Medido
MED-0267,ATV-003,2026-08-02T09:00:00,279.94,149.33,97.17,24.6,Medido
MED-0268,ATV-004,2026-08-02T09:00:00,156.13,107.14,81.27,26.6,Medido
MED-0269,ATV-005,2026-08-02T09:00:00,306.19,171.06,96.93,25.7,Estimado
MED-0270,ATV-006,2026-08-02T09:00:00,120.38,94.91,97.88,23.9,Medido
MED-0271,ATV-007,2026-08-02T09:00:00,349.93,201.28,99.7,20.9,Medido
MED-0272,ATV-008,2026-08-02T09:00:00,90.16,133.63,86.62,21.3,Medido
MED-0273,ATV-001,2026-08-02T10:00:00,165.86,80.9,97.94,27.7,Medido
MED-0274,ATV-002,2026-08-02T10:00:00,223.82,110.87,84.1,25.6,Medido
MED-0275,ATV-003,2026-08-02T10:00:00,280.78,149.33,97.17,27.0,Medido
MED-0276,ATV-004,2026-08-02T10:00:00,146.92,107.14,81.27,29.0,Estimado
MED-0277,ATV-005,2026-08-02T10:00:00,307.1,171.06,96.93,28.1,Medido
MED-0278,ATV-006,2026-08-02T10:00:00,147.43,94.91,97.88,26.3,Medido
MED-0279,ATV-007,2026-08-02T10:00:00,350.98,201.28,99.7,23.3,Medido
MED-0280,ATV-008,2026-08-02T10:00:00,90.9,133.63,86.62,23.7,Medido
MED-0281,ATV-001,2026-08-02T11:00:00,176.4,80.9,97.94,29.8,Medido
MED-0282,ATV-002,2026-08-02T11:00:00,216.35,110.87,84.1,27.7,Medido
MED-0283,ATV-003,2026-08-02T11:00:00,281.55,149.33,97.17,29.1,Estimado
MED-0284,ATV-004,2026-08-02T11:00:00,137.71,107.14,81.27,31.1,Medido
MED-0285,ATV-005,2026-08-02T11:00:00,307.94,171.06,96.93,30.2,Medido
MED-0286,ATV-006,2026-08-02T11:00:00,156.8,94.91,97.88,28.4,Medido
MED-0287,ATV-007,2026-08-02T11:00:00,351.93,201.28,99.7,25.4,Medido
MED-0288,ATV-008,2026-08-02T11:00:00,93.07,133.63,86.62,25.8,Medido
MED-0289,ATV-001,2026-08-02T12:00:00,176.4,80.9,97.94,31.4,Medido
MED-0290,ATV-002,2026-08-02T12:00:00,207.9,110.87,84.1,29.3,Estimado
MED-0291,ATV-003,2026-08-02T12:00:00,282.23,149.33,97.17,30.6,Medido
MED-0292,ATV-004,2026-08-02T12:00:00,128.69,107.14,81.27,32.7,Medido
MED-0293,ATV-005,2026-08-02T12:00:00,308.69,171.06,96.93,31.7,Medido
MED-0294,ATV-006,2026-08-02T12:00:00,156.8,94.91,97.88,30.0,Medido
MED-0295,ATV-007,2026-08-02T12:00:00,352.79,201.28,99.7,27.0,Medido
MED-0296,ATV-008,2026-08-02T12:00:00,96.62,133.63,86.62,27.4,Medido
MED-0297,ATV-001,2026-08-02T13:00:00,176.4,80.9,97.94,32.4,Estimado
MED-0298,ATV-002,2026-08-02T13:00:00,198.63,110.87,84.1,30.3,Medido
MED-0299,ATV-003,2026-08-02T13:00:00,282.84,149.33,97.17,31.6,Medido
MED-0300,ATV-004,2026-08-02T13:00:00,120.05,107.14,81.27,33.7,Medido
MED-0301,ATV-005,2026-08-02T13:00:00,309.35,171.06,96.93,32.7,Medido
MED-0302,ATV-006,2026-08-02T13:00:00,156.8,94.91,97.88,31.0,Medido
MED-0303,ATV-007,2026-08-02T13:00:00,353.54,201.28,99.7,28.0,Medido
MED-0304,ATV-008,2026-08-02T13:00:00,101.49,133.63,86.62,28.4,Medido
MED-0305,ATV-001,2026-08-02T14:00:00,165.86,80.9,97.94,32.7,Medido
MED-0306,ATV-002,2026-08-02T14:00:00,188.74,110.87,84.1,30.6,Medido
MED-0307,ATV-003,2026-08-02T14:00:00,283.35,149.33,97.17,32.0,Medido
MED-0308,ATV-004,2026-08-02T14:00:00,111.95,107.14,81.27,34.0,Medido
